Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-01,00,Bundesgebiet,172097,206.95921573284002
2022-06-01,01,Schleswig-Holstein,10424,358.10538068450205
2022-06-01,02,Hamburg,4634,250.15141880227458
2022-06-01,03,Niedersachsen,20733,259.0517230069492
2022-06-01,04,Bremen,1676,246.4234778645259
2022-06-01,05,Nordrhein-Westfalen,39603,220.9302130978262
2022-06-01,06,Hessen,17998,285.9933190892834
2022-06-01,07,Rheinland-Pfalz,7512,183.2914429101567
2022-06-01,08,Baden-Württemberg,18596,167.4856163305861
2022-06-01,09,Bayern,28477,216.7169209135063
2022-06-01,10,Saarland,1969,200.10345623079886
2022-06-01,11,Berlin,6582,179.63542360336322
2022-06-01,12,Brandenburg,2997,118.40837337237873
2022-06-01,13,Mecklenburg-Vorpommern,2719,168.80083736141756
2022-06-01,14,Sachsen,4125,101.67759402959027
2022-06-01,15,Sachsen-Anhalt,2429,111.3870693782318
2022-06-01,16,Thüringen,1623,76.54804627973193
