Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-28,00,Bundesgebiet,528729,635.835250906226
2022-06-28,01,Schleswig-Holstein,26053,895.022974191609
2022-06-28,02,Hamburg,13101,707.2148765059558
2022-06-28,03,Niedersachsen,73748,921.4559623940813
2022-06-28,04,Bremen,5379,790.8782144590004
2022-06-28,05,Nordrhein-Westfalen,138744,774.000492034563
2022-06-28,06,Hessen,47953,761.9867557666632
2022-06-28,07,Rheinland-Pfalz,24639,601.1871488103502
2022-06-28,08,Baden-Württemberg,56487,508.7524203950215
2022-06-28,09,Bayern,74116,564.0408508770387
2022-06-28,10,Saarland,8099,823.0766338310005
2022-06-28,11,Berlin,15775,430.5300527716583
2022-06-28,12,Brandenburg,10211,403.42605956134776
2022-06-28,13,Mecklenburg-Vorpommern,8725,541.6650628828129
2022-06-28,14,Sachsen,12809,315.7304974363689
2022-06-28,15,Sachsen-Anhalt,8022,367.86622912810844
2022-06-28,16,Thüringen,4868,229.59697430051455
