Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-29,00,Bundesgebiet,537411,646.275990204369
2022-06-29,01,Schleswig-Holstein,28792,989.1183922360115
2022-06-29,02,Hamburg,12732,687.2956116078033
2022-06-29,03,Niedersachsen,73453,917.770038587249
2022-06-29,04,Bremen,5303,779.7038801405614
2022-06-29,05,Nordrhein-Westfalen,138751,774.0395423966993
2022-06-29,06,Hessen,49525,786.9662811366128
2022-06-29,07,Rheinland-Pfalz,25328,617.9986243381854
2022-06-29,08,Baden-Württemberg,57643,519.1639805411903
2022-06-29,09,Bayern,75649,575.7073550649941
2022-06-29,10,Saarland,8126,825.8205613669231
2022-06-29,11,Berlin,15739,429.54754361794807
2022-06-29,12,Brandenburg,10358,409.2338776747076
2022-06-29,13,Mecklenburg-Vorpommern,9135,567.1186646916327
2022-06-29,14,Sachsen,13352,329.1149661777186
2022-06-29,15,Sachsen-Anhalt,8365,383.5952389250345
2022-06-29,16,Thüringen,5160,243.36901959545088
