Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-05-31,00,Bundesgebiet,167703,201.6751097116421
2022-05-31,01,Schleswig-Holstein,9510,326.7058874049899
2022-05-31,02,Hamburg,4413,238.22145256245958
2022-05-31,03,Niedersachsen,20672,258.28954893163814
2022-05-31,04,Bremen,1732,254.65719788863896
2022-05-31,05,Nordrhein-Westfalen,38296,213.63895262465851
2022-05-31,06,Hessen,17158,272.6454811053408
2022-05-31,07,Rheinland-Pfalz,7147,174.38550884969249
2022-05-31,08,Baden-Württemberg,18544,167.01727625480692
2022-05-31,09,Bayern,28165,214.34252475783632
2022-05-31,10,Saarland,1823,185.2659221476619
2022-05-31,11,Berlin,6932,189.1875959311021
2022-05-31,12,Brandenburg,3086,121.92467141380072
2022-05-31,13,Mecklenburg-Vorpommern,2577,159.9851996617775
2022-05-31,14,Sachsen,3891,95.90970142282079
2022-05-31,15,Sachsen-Anhalt,2217,101.66534903727454
2022-05-31,16,Thüringen,1540,72.63338956918496
