Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-09-30,00,Bundesgebiet,7915,9.508978229473666
2023-09-30,01,Schleswig-Holstein,264,9.034892137419341
2023-09-30,02,Hamburg,182,9.816956905177365
2023-09-30,03,Niedersachsen,534,6.652521959862868
2023-09-30,04,Bremen,49,7.2435595147110785
2023-09-30,05,Nordrhein-Westfalen,1207,6.733765919679841
2023-09-30,06,Hessen,667,10.595682267418818
2023-09-30,07,Rheinland-Pfalz,469,11.42095977460042
2023-09-30,08,Baden-Württemberg,961,8.63848023154363
2023-09-30,09,Bayern,1728,13.11376976940635
2023-09-30,10,Saarland,111,11.299458033202084
2023-09-30,11,Berlin,367,9.979681694381357
2023-09-30,12,Brandenburg,271,10.678254345773697
2023-09-30,13,Mecklenburg-Vorpommern,167,10.365202711090145
2023-09-30,14,Sachsen,458,11.328216013744242
2023-09-30,15,Sachsen-Anhalt,287,13.230360866159918
2023-09-30,16,Thüringen,193,9.151851021142672
