Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-03-26,00,Bundesgebiet,30274,36.37079051409801
2023-03-26,01,Schleswig-Holstein,895,30.62965326890269
2023-03-26,02,Hamburg,674,36.355104143349145
2023-03-26,03,Niedersachsen,3237,40.326242666809186
2023-03-26,04,Bremen,291,43.01787385267191
2023-03-26,05,Nordrhein-Westfalen,6754,37.680078725366734
2023-03-26,06,Hessen,2113,33.566231830668606
2023-03-26,07,Rheinland-Pfalz,1145,27.882726955047932
2023-03-26,08,Baden-Württemberg,2451,22.032169664426057
2023-03-26,09,Bayern,4294,32.587110758003966
2023-03-26,10,Saarland,577,58.73682238880723
2023-03-26,11,Berlin,1785,48.538778813271726
2023-03-26,12,Brandenburg,1249,49.214537556720835
2023-03-26,13,Mecklenburg-Vorpommern,1052,65.2945703716577
2023-03-26,14,Sachsen,1835,45.38706634327661
2023-03-26,15,Sachsen-Anhalt,1125,51.86117064261292
2023-03-26,16,Thüringen,797,37.79287701477052
