Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-04-18,00,Bundesgebiet,14571,17.50541020614792
2023-04-18,01,Schleswig-Holstein,672,22.997907258885594
2023-04-18,02,Hamburg,423,22.81633390598915
2023-04-18,03,Niedersachsen,1287,16.033325397647026
2023-04-18,04,Bremen,93,13.74798030343123
2023-04-18,05,Nordrhein-Westfalen,2624,14.639106688682604
2023-04-18,06,Hessen,1012,16.07620757815269
2023-04-18,07,Rheinland-Pfalz,555,13.5152082620538
2023-04-18,08,Baden-Württemberg,1289,11.586889717439897
2023-04-18,09,Bayern,2158,16.377034237487788
2023-04-18,10,Saarland,223,22.700712985622204
2023-04-18,11,Berlin,892,24.255793110049513
2023-04-18,12,Brandenburg,640,25.218017643155594
2023-04-18,13,Mecklenburg-Vorpommern,609,37.79885300032275
2023-04-18,14,Sachsen,1012,25.0309052530768
2023-04-18,15,Sachsen-Anhalt,679,31.30109765896371
2023-04-18,16,Thüringen,403,19.10982363482123
