Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-04-08,00,Bundesgebiet,13576,16.31003012550025
2023-04-08,01,Schleswig-Holstein,570,19.50715347851903
2023-04-08,02,Hamburg,353,19.040581250151703
2023-04-08,03,Niedersachsen,1613,20.094602848799266
2023-04-08,04,Bremen,157,23.208955996115087
2023-04-08,05,Nordrhein-Westfalen,2539,14.164897821099517
2023-04-08,06,Hessen,856,13.59805700286433
2023-04-08,07,Rheinland-Pfalz,471,11.469663227797009
2023-04-08,08,Baden-Württemberg,1143,10.274487934083632
2023-04-08,09,Bayern,2012,15.269042115767116
2023-04-08,10,Saarland,200,20.359383843607358
2023-04-08,11,Berlin,809,21.99880787671531
2023-04-08,12,Brandenburg,563,22.183974895463436
2023-04-08,13,Mecklenburg-Vorpommern,497,30.847339804861093
2023-04-08,14,Sachsen,940,23.250050333885564
2023-04-08,15,Sachsen-Anhalt,469,21.620345805675964
2023-04-08,16,Thüringen,384,18.208864207869357
