Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-03-27,00,Bundesgebiet,29620,35.585083405813016
2023-03-27,01,Schleswig-Holstein,876,29.979414819618718
2023-03-27,02,Hamburg,667,35.9775288777654
2023-03-27,03,Niedersachsen,3121,38.88112553695133
2023-03-27,04,Bremen,291,43.01787385267191
2023-03-27,05,Nordrhein-Westfalen,6553,36.55871422672908
2023-03-27,06,Hessen,2083,33.08966441234392
2023-03-27,07,Rheinland-Pfalz,1127,27.44439587627862
2023-03-27,08,Baden-Württemberg,2380,21.393946879369242
2023-03-27,09,Bayern,4230,32.10141558135929
2023-03-27,10,Saarland,577,58.73682238880723
2023-03-27,11,Berlin,1785,48.538778813271726
2023-03-27,12,Brandenburg,1240,48.859909183613965
2023-03-27,13,Mecklenburg-Vorpommern,1051,65.23250328955535
2023-03-27,14,Sachsen,1739,43.01259311768829
2023-03-27,15,Sachsen-Anhalt,1121,51.676775369216955
2023-03-27,16,Thüringen,779,36.93933650502664
