Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-10-03,00,Bundesgebiet,392089,471.0506336091093
2022-10-03,01,Schleswig-Holstein,11083,379.29435439022177
2022-10-03,02,Hamburg,3778,203.7827647679126
2022-10-03,03,Niedersachsen,37239,463.919972403246
2022-10-03,04,Bremen,3275,484.1358655240567
2022-10-03,05,Nordrhein-Westfalen,63287,353.07360709095116
2022-10-03,06,Hessen,36339,577.2661138166902
2022-10-03,07,Rheinland-Pfalz,25366,617.7058968923544
2022-10-03,08,Baden-Württemberg,48871,439.30402434523285
2022-10-03,09,Bayern,88727,673.3480615336326
2022-10-03,10,Saarland,8203,835.0401283455558
2022-10-03,11,Berlin,10497,285.440650533845
2022-10-03,12,Brandenburg,12207,480.9942833906255
2022-10-03,13,Mecklenburg-Vorpommern,8112,503.4881700141513
2022-10-03,14,Sachsen,18162,449.22065336598894
2022-10-03,15,Sachsen-Anhalt,9209,424.52401817584206
2022-10-03,16,Thüringen,7734,366.73790568661883
