Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-06-11,00,Bundesgebiet,2092,2.51330163689942
2023-06-11,01,Schleswig-Holstein,154,5.270353746827948
2023-06-11,02,Hamburg,72,3.88363130314709
2023-06-11,03,Niedersachsen,257,3.201681917012654
2023-06-11,04,Bremen,3,0.4434832355945558
2023-06-11,05,Nordrhein-Westfalen,370,2.06420330594991
2023-06-11,06,Hessen,180,2.8594045099481065
2023-06-11,07,Rheinland-Pfalz,73,1.777676041675545
2023-06-11,08,Baden-Württemberg,178,1.6000514892973634
2023-06-11,09,Bayern,229,1.7378780539317444
2023-06-11,10,Saarland,34,3.4610952534132506
2023-06-11,11,Berlin,141,3.8341556373508756
2023-06-11,12,Brandenburg,83,3.2704616630967407
2023-06-11,13,Mecklenburg-Vorpommern,56,3.475756597730827
2023-06-11,14,Sachsen,125,3.091762012484782
2023-06-11,15,Sachsen-Anhalt,73,3.365213739476216
2023-06-11,16,Thüringen,64,3.0348107013115597
