Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-09-17,00,Bundesgebiet,214110,257.48291766014734
2022-09-17,01,Schleswig-Holstein,6905,237.2138961652424
2022-09-17,02,Hamburg,3084,166.4797098804952
2022-09-17,03,Niedersachsen,24781,309.630094430869
2022-09-17,04,Bremen,2339,343.9048417214356
2022-09-17,05,Nordrhein-Westfalen,41145,229.5324500141418
2022-09-17,06,Hessen,19599,311.4336626753453
2022-09-17,07,Rheinland-Pfalz,12801,312.34208741918474
2022-09-17,08,Baden-Württemberg,20907,188.2997300830052
2022-09-17,09,Bayern,37447,284.9808103890182
2022-09-17,10,Saarland,3530,358.7431185854342
2022-09-17,11,Berlin,7765,211.92176607112054
2022-09-17,12,Brandenburg,7852,310.2244069802862
2022-09-17,13,Mecklenburg-Vorpommern,5519,342.6303131289678
2022-09-17,14,Sachsen,10572,260.59043008020086
2022-09-17,15,Sachsen-Anhalt,5019,230.1571433550207
2022-09-17,16,Thüringen,4845,228.51218991084488
