Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-05-16,00,Bundesgebiet,5486,6.590809168274483
2023-05-16,01,Schleswig-Holstein,344,11.772738239667627
2023-05-16,02,Hamburg,198,10.679986083654496
2023-05-16,03,Niedersachsen,638,7.948144214218185
2023-05-16,04,Bremen,25,3.6956936299546315
2023-05-16,05,Nordrhein-Westfalen,1025,5.718401050266642
2023-05-16,06,Hessen,386,6.131834115777606
2023-05-16,07,Rheinland-Pfalz,190,4.626828053676076
2023-05-16,08,Baden-Württemberg,431,3.874281976894178
2023-05-16,09,Bayern,690,5.2364011232004515
2023-05-16,10,Saarland,88,8.958128891187236
2023-05-16,11,Berlin,373,10.142837253417564
2023-05-16,12,Brandenburg,249,9.811384989290223
2023-05-16,13,Mecklenburg-Vorpommern,223,13.840959308820974
2023-05-16,14,Sachsen,236,5.837246679571269
2023-05-16,15,Sachsen-Anhalt,253,11.663001042294283
2023-05-16,16,Thüringen,137,6.4963916574950575
