Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-03-02,00,Bundesgebiet,109088,131.05690677155064
2023-03-02,01,Schleswig-Holstein,1778,60.84862962246814
2023-03-02,02,Hamburg,1116,60.1962851987799
2023-03-02,03,Niedersachsen,8549,106.50264088926528
2023-03-02,04,Bremen,743,109.83601468225164
2023-03-02,05,Nordrhein-Westfalen,35528,198.2081487940227
2023-03-02,06,Hessen,11000,174.74138671905095
2023-03-02,07,Rheinland-Pfalz,8484,206.60004845993595
2023-03-02,08,Baden-Württemberg,12358,111.0867208131282
2023-03-02,09,Bayern,15822,120.07295445112688
2023-03-02,10,Saarland,2797,284.7259830528489
2023-03-02,11,Berlin,2841,77.25415720364424
2023-03-02,12,Brandenburg,1869,73.64449214852782
2023-03-02,13,Mecklenburg-Vorpommern,1070,66.41177784949974
2023-03-02,14,Sachsen,2357,58.29826450741305
2023-03-02,15,Sachsen-Anhalt,1479,68.18015233815512
2023-03-02,16,Thüringen,1297,61.50233561876708
