Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-10-15,00,Bundesgebiet,11473,13.783513231427843
2023-10-15,01,Schleswig-Holstein,319,10.917161332715036
2023-10-15,02,Hamburg,225,12.136347822334656
2023-10-15,03,Niedersachsen,693,8.633329060271477
2023-10-15,04,Bremen,26,3.8435213751528168
2023-10-15,05,Nordrhein-Westfalen,1745,9.735229105088088
2023-10-15,06,Hessen,767,12.184240328501097
2023-10-15,07,Rheinland-Pfalz,590,14.367518692994128
2023-10-15,08,Baden-Württemberg,1564,14.058879377871216
2023-10-15,09,Bayern,2851,21.63620232209346
2023-10-15,10,Saarland,230,23.41329142014846
2023-10-15,11,Berlin,520,14.140148449804649
2023-10-15,12,Brandenburg,347,13.672893940898424
2023-10-15,13,Mecklenburg-Vorpommern,205,12.723751830978923
2023-10-15,14,Sachsen,614,15.18673500532525
2023-10-15,15,Sachsen-Anhalt,494,22.772816264400696
2023-10-15,16,Thüringen,283,13.419553569862053
