Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-09,0,Bundesgebiet,25299300,136538,3350,5,415146,499.24339514707174
2022-05-09,1,Schleswig-Holstein,681519,2465,193,0,22751,781.5862927813802
2022-05-09,2,Hamburg,559399,2577,1010,0,9917,535.3369918563136
2022-05-09,3,Niedersachsen,2227557,8922,0,0,55272,690.6046801736408
2022-05-09,4,Bremen,191063,765,0,0,4352,639.8776704453561
2022-05-09,5,Nordrhein-Westfalen,5055871,24931,1930,4,85959,479.532868410879
2022-05-09,6,Hessen,1766541,9993,0,0,34457,547.5314921579863
2022-05-09,7,Rheinland-Pfalz,1100671,5564,0,0,21035,513.25019989552
2022-05-09,8,Baden-Württemberg,3547527,15871,0,0,49728,447.8772170836409
2022-05-09,9,Bayern,4721739,23685,0,0,71415,543.4855815934983
2022-05-09,10,Saarland,306169,1649,0,0,5309,539.537455119
2022-05-09,11,Berlin,1014034,4512,93,0,12382,337.9285650344642
2022-05-09,12,Brandenburg,772525,5591,0,0,9158,361.8231175656471
2022-05-09,13,Mecklenburg-Vorpommern,473544,2175,0,0,5504,341.6990837944988
2022-05-09,14,Sachsen,1482026,15393,0,0,13499,332.73838589222765
2022-05-09,15,Sachsen-Anhalt,701141,5282,124,1,8945,410.1923983484081
2022-05-09,16,Thüringen,697974,7163,0,0,5463,257.65987481588144
