Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-22,0,24006254,133921,161718,289,609898,2022-04-22,2022-04-21,83155031,733.4469035313089
2022-04-22,1,616943,2403,6826,8,28609,2022-04-22,2022-04-21,2910875,982.8316227938335
2022-04-22,2,516941,2493,4402,4,13035,2022-04-22,2022-04-21,1852478,703.6520811583188
2022-04-22,3,2047847,8537,23632,23,78488,2022-04-22,2022-04-21,8003421,980.6806364428411
2022-04-22,4,179073,741,1553,2,6202,2022-04-22,2022-04-21,680130,911.884492670519
2022-04-22,5,4790388,24445,32643,39,126733,2022-04-22,2022-04-21,17925570,706.9956492317957
2022-04-22,6,1658681,9829,12560,18,56253,2022-04-22,2022-04-21,6293154,893.876107274667
2022-04-22,7,1033692,5458,9811,10,29353,2022-04-22,2022-04-21,4098391,716.2078971967292
2022-04-22,8,3392934,15623,18281,32,74337,2022-04-22,2022-04-21,11103043,669.5191579461595
2022-04-22,9,4511018,23304,25121,66,102601,2022-04-22,2022-04-21,13140183,780.8186537432546
2022-04-22,10,290956,1610,1991,2,9334,2022-04-22,2022-04-21,983991,948.585911863015
2022-04-22,11,976858,4455,3273,3,12606,2022-04-22,2022-04-21,3664088,344.0419553242171
2022-04-22,12,745034,5523,3802,9,12099,2022-04-22,2022-04-21,2531071,478.018988799603
2022-04-22,13,456272,2136,2659,9,11904,2022-04-22,2022-04-21,1610774,739.0235998346137
2022-04-22,14,1437953,15128,6749,25,21720,2022-04-22,2022-04-21,4056941,535.378749653988
2022-04-22,15,673923,5191,5051,14,14672,2022-04-22,2022-04-21,2180684,672.8164190685125
2022-04-22,16,677741,7045,3364,25,11952,2022-04-22,2022-04-21,2120237,563.7105663187654
