Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-17,0,23416663,132942,39784,13,693731,2022-04-17,2022-04-16,83155031,834.2622107855387
2022-04-17,1,587899,2373,573,0,27751,2022-04-17,2022-04-16,2910875,953.3559496714906
2022-04-17,2,504753,2479,2813,1,18687,2022-04-17,2022-04-15,1852478,1008.7569191105104
2022-04-17,3,1961605,8461,0,0,80617,2022-04-17,2022-04-14,8003421,1007.2817611368938
2022-04-17,4,173943,735,1487,0,7617,2022-04-17,2022-04-16,680130,1119.9329539940893
2022-04-17,5,4674834,24282,13018,5,143963,2022-04-17,2022-04-16,17925570,803.1153263187726
2022-04-17,6,1609464,9769,6835,2,58814,2022-04-17,2022-04-16,6293154,934.5711228423776
2022-04-17,7,1004263,5419,1584,-1,36742,2022-04-17,2022-04-16,4098391,896.4981623276061
2022-04-17,8,3311070,15512,3,0,81916,2022-04-17,2022-04-16,11103043,737.7797239909817
2022-04-17,9,4425643,23140,10666,2,123050,2022-04-17,2022-04-16,13140183,936.440535112791
2022-04-17,10,283625,1587,1993,1,11740,2022-04-17,2022-04-16,983991,1193.1003433974497
2022-04-17,11,964187,4427,319,0,17718,2022-04-17,2022-04-16,3664088,483.55825515107716
2022-04-17,12,731755,5491,-1,0,12624,2022-04-17,2022-04-14,2531071,498.761196347317
2022-04-17,13,445805,2103,0,0,14411,2022-04-17,2022-04-15,1610774,894.6630626022024
2022-04-17,14,1413227,15055,0,0,25224,2022-04-17,2022-04-14,4056941,621.7492440733055
2022-04-17,15,659632,5149,492,3,16806,2022-04-17,2022-04-16,2180684,770.6756228779594
2022-04-17,16,664958,6960,2,0,16051,2022-04-17,2022-04-15,2120237,757.0380103733686
