Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-13,0,23017079,132378,176303,361,868716,2022-04-13,2022-04-12
2022-04-13,1,572882,2351,7237,7,33049,2022-04-13,2022-04-12
2022-04-13,2,489172,2464,3340,10,18145,2022-04-13,2022-04-12
2022-04-13,3,1919410,8387,24524,42,106866,2022-04-13,2022-04-12
2022-04-13,4,169613,731,1344,3,8024,2022-04-13,2022-04-12
2022-04-13,5,4586994,24161,32434,67,169374,2022-04-13,2022-04-12
2022-04-13,6,1575359,9746,12933,29,68062,2022-04-13,2022-04-12
2022-04-13,7,982220,5379,9203,17,44116,2022-04-13,2022-04-12
2022-04-13,8,3269042,15455,23300,37,112613,2022-04-13,2022-04-12
2022-04-13,9,4351758,23062,29840,53,152801,2022-04-13,2022-04-12
2022-04-13,10,276965,1585,2831,14,15563,2022-04-13,2022-04-12
2022-04-13,11,955168,4421,5150,9,22210,2022-04-13,2022-04-12
2022-04-13,12,725150,5480,4296,3,16506,2022-04-13,2022-04-12
2022-04-13,13,437660,2089,3555,12,19138,2022-04-13,2022-04-12
2022-04-13,14,1399143,14990,8483,39,35661,2022-04-13,2022-04-12
2022-04-13,15,649514,5125,3682,12,20323,2022-04-13,2022-04-12
2022-04-13,16,657029,6952,4151,7,26265,2022-04-13,2022-04-12
