Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-28,0,Bundesgebiet,26240639,138854,39976,73,174152,209.43050336906254
2022-05-28,1,Schleswig-Holstein,731882,2537,2494,0,9770,335.6379095632756
2022-05-28,2,Hamburg,581330,2649,1563,3,4226,228.1268657441546
2022-05-28,3,Niedersachsen,2352852,9276,5250,6,21545,269.1973844684667
2022-05-28,4,Bremen,200006,774,388,0,1947,286.26880155264433
2022-05-28,5,Nordrhein-Westfalen,5260624,25377,6913,19,38925,217.1479065937652
2022-05-28,6,Hessen,1851788,10113,4439,2,17810,283.0059458262105
2022-05-28,7,Rheinland-Pfalz,1147762,5677,2379,2,7583,185.02383008356207
2022-05-28,8,Baden-Württemberg,3663240,16104,5199,5,20090,180.94138696932004
2022-05-28,9,Bayern,4883786,24033,7174,24,29750,226.40476163840336
2022-05-28,10,Saarland,314556,1677,448,0,1744,177.237393431444
2022-05-28,11,Berlin,1046952,4610,1755,2,7548,205.99941922792246
2022-05-28,12,Brandenburg,788656,5662,456,0,3031,119.75167824213545
2022-05-28,13,Mecklenburg-Vorpommern,486010,2227,518,0,2565,159.24021619420228
2022-05-28,14,Sachsen,1506506,15514,564,8,3810,93.91312321278521
2022-05-28,15,Sachsen-Anhalt,715650,5346,264,2,2258,103.54549306547854
2022-05-28,16,Thüringen,709039,7278,172,0,1550,73.10503495599784
