Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-20,0,23658211,133308,198583,348,572348,2022-04-20,2022-04-19,83155031,688.2902851662698
2022-04-20,1,600036,2392,10844,19,24786,2022-04-20,2022-04-19,2910875,851.4965431356551
2022-04-20,2,509311,2479,1540,0,13117,2022-04-20,2022-04-19,1852478,708.0785844690193
2022-04-20,3,1999592,8503,37987,42,71953,2022-04-20,2022-04-19,8003421,899.0280531287808
2022-04-20,4,175598,737,1655,2,5715,2022-04-20,2022-04-19,680130,840.2805346036787
2022-04-20,5,4721496,24354,35139,69,121168,2022-04-20,2022-04-19,17925570,675.9506113334193
2022-04-20,6,1628956,9790,13786,21,50044,2022-04-20,2022-04-19,6293154,795.2133381766917
2022-04-20,7,1013233,5428,7739,8,26444,2022-04-20,2022-04-19,4098391,645.2288227257966
2022-04-20,8,3350169,15551,39104,39,72018,2022-04-20,2022-04-19,11103043,648.6329918743897
2022-04-20,9,4460560,23195,17417,47,101040,2022-04-20,2022-04-19,13140183,768.939062720816
2022-04-20,10,286601,1599,2976,12,9678,2022-04-20,2022-04-19,983991,983.5455812095842
2022-04-20,11,969032,4443,4592,16,12558,2022-04-20,2022-04-19,3664088,342.73194311927006
2022-04-20,12,736436,5498,4681,7,9343,2022-04-20,2022-04-19,2531071,369.13227641579397
2022-04-20,13,448887,2120,1145,13,10075,2022-04-20,2022-04-19,1610774,625.4757029850246
2022-04-20,14,1422966,15075,9739,20,18253,2022-04-20,2022-04-19,4056941,449.92027244172397
2022-04-20,15,664318,5162,4176,11,13186,2022-04-20,2022-04-19,2180684,604.6726623389726
2022-04-20,16,671020,6982,6063,22,12970,2022-04-20,2022-04-19,2120237,611.7240666963174
