Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-09,0,22591726,131679,150675,309,949500,2022-04-09,2022-04-08
2022-04-09,1,555619,2340,5350,6,33558,2022-04-09,2022-04-08
2022-04-09,2,477675,2424,4980,1,19284,2022-04-09,2022-04-08
2022-04-09,3,1866628,8312,18494,27,111059,2022-04-09,2022-04-08
2022-04-09,4,165653,726,1816,2,7948,2022-04-09,2022-04-08
2022-04-09,5,4501871,24029,30136,56,180346,2022-04-09,2022-04-08
2022-04-09,6,1541185,9707,10703,11,69491,2022-04-09,2022-04-08
2022-04-09,7,961831,5354,8848,9,51973,2022-04-09,2022-04-08
2022-04-09,8,3213778,15368,18451,31,120407,2022-04-09,2022-04-08
2022-04-09,9,4278851,22939,25184,62,173680,2022-04-09,2022-04-08
2022-04-09,10,269850,1566,2539,7,16289,2022-04-09,2022-04-08
2022-04-09,11,945380,4407,3889,1,26195,2022-04-09,2022-04-08
2022-04-09,12,716821,5469,2488,5,19664,2022-04-09,2022-04-08
2022-04-09,13,429123,2064,3112,7,22459,2022-04-09,2022-04-08
2022-04-09,14,1380818,14941,6587,56,41831,2022-04-09,2022-04-08
2022-04-09,15,640187,5104,3826,21,23138,2022-04-09,2022-04-08
2022-04-09,16,646456,6929,4272,7,32178,2022-04-09,2022-04-08
