Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-29,0,24710769,135292,101610,214,630716,2022-04-29,2022-04-28
2022-04-29,1,651363,2441,5289,4,30010,2022-04-29,2022-04-28
2022-04-29,2,540800,2524,3374,3,16003,2022-04-29,2022-04-28
2022-04-29,3,2146681,8724,13182,16,87124,2022-04-29,2022-04-28
2022-04-29,4,185452,749,923,3,5998,2022-04-29,2022-04-28
2022-04-29,5,4931158,24709,20084,67,124724,2022-04-29,2022-04-28
2022-04-29,6,1719615,9915,8534,12,57388,2022-04-29,2022-04-28
2022-04-29,7,1071474,5508,5609,13,31664,2022-04-29,2022-04-28
2022-04-29,8,3477453,15747,12287,21,76029,2022-04-29,2022-04-28
2022-04-29,9,4620823,23526,16357,31,103540,2022-04-29,2022-04-28
2022-04-29,10,299067,1635,1069,4,8138,2022-04-29,2022-04-28
2022-04-29,11,997355,4480,3516,2,19249,2022-04-29,2022-04-28
2022-04-29,12,761059,5556,2706,5,14895,2022-04-29,2022-04-28
2022-04-29,13,466532,2155,1144,7,10248,2022-04-29,2022-04-28
2022-04-29,14,1462933,15272,3231,20,21777,2022-04-29,2022-04-28
2022-04-29,15,689114,5248,2182,1,13900,2022-04-29,2022-04-28
2022-04-29,16,689890,7103,2123,5,10029,2022-04-29,2022-04-28
