Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-19,0,Bundesgebiet,25949175,138053,58719,165,318629,383.1746512126248
2022-05-19,1,Schleswig-Holstein,715391,2513,3082,10,16119,553.7510198823378
2022-05-19,2,Hamburg,573031,2632,1658,1,6664,359.7343666159598
2022-05-19,3,Niedersachsen,2315958,9176,8185,29,43174,539.4443201226076
2022-05-19,4,Bremen,197167,772,528,1,3390,498.43412288827136
2022-05-19,5,Nordrhein-Westfalen,5190275,25214,13719,31,66825,372.79149282282236
2022-05-19,6,Hessen,1825961,10066,4594,10,30248,480.64928968844555
2022-05-19,7,Rheinland-Pfalz,1132888,5631,2615,19,13501,329.4219609598011
2022-05-19,8,Baden-Württemberg,3629447,15997,7261,6,39587,356.54189576677317
2022-05-19,9,Bayern,4837887,23921,9503,14,58114,442.2617249698882
2022-05-19,10,Saarland,312016,1669,448,3,3234,328.6615426360607
2022-05-19,11,Berlin,1035502,4574,1977,12,11170,304.85075685955144
2022-05-19,12,Brandenburg,784205,5635,1025,3,5669,223.9763325485536
2022-05-19,13,Mecklenburg-Vorpommern,482168,2211,670,3,4601,285.63907785946384
2022-05-19,14,Sachsen,1499726,15474,1647,12,7822,192.8053673938073
2022-05-19,15,Sachsen-Anhalt,711707,5322,1001,3,5234,240.01643521023678
2022-05-19,16,Thüringen,705846,7246,806,8,3277,154.55819325858383
