Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-11,0,Bundesgebiet,25503878,136987,97010,231,421716,507.1443001446299
2022-05-11,1,Schleswig-Holstein,692458,2475,5507,1,21871,751.3548331687207
2022-05-11,2,Hamburg,561448,2598,1212,21,8207,443.02820330389886
2022-05-11,3,Niedersachsen,2256689,8981,13896,32,56671,708.0847052779055
2022-05-11,4,Bremen,192763,766,934,0,4099,602.678899622131
2022-05-11,5,Nordrhein-Westfalen,5094097,25019,19561,54,84793,473.02819380360006
2022-05-11,6,Hessen,1786181,10016,7758,6,37380,593.9787902854436
2022-05-11,7,Rheinland-Pfalz,1111107,5573,5771,5,21382,521.716937207797
2022-05-11,8,Baden-Württemberg,3573692,15921,11847,25,52332,471.33024703227755
2022-05-11,9,Bayern,4760261,23772,16258,40,78055,594.0176023423722
2022-05-11,10,Saarland,308047,1660,1021,6,5010,509.15099833230175
2022-05-11,11,Berlin,1020636,4528,3804,3,12395,338.2833600066374
2022-05-11,12,Brandenburg,776804,5604,2059,9,8540,337.40657610948097
2022-05-11,13,Mecklenburg-Vorpommern,476571,2192,1663,4,5723,355.2950320777465
2022-05-11,14,Sachsen,1488160,15417,3028,13,12041,296.799978111587
2022-05-11,15,Sachsen-Anhalt,704492,5287,1657,2,8240,377.8630924975833
2022-05-11,16,Thüringen,700472,7178,1034,10,4977,234.737909016775
