Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-05-03,0,24927339,135701,113522,240,525685,2022-05-03,2022-05-02,83155031,632.1746185146633
2022-05-03,1,662693,2450,5888,6,25758,2022-05-03,2022-05-02,2910875,884.8885644350926
2022-05-03,2,548201,2535,1072,6,13074,2022-05-03,2022-05-02,1852478,705.7573693182861
2022-05-03,3,2177790,8789,17094,39,71464,2022-05-03,2022-05-02,8003421,892.9181658693202
2022-05-03,4,187170,759,972,6,4588,2022-05-03,2022-05-02,680130,674.5769191184039
2022-05-03,5,4976074,24795,18172,46,103613,2022-05-03,2022-05-02,17925570,578.0178817186845
2022-05-03,6,1737439,9941,10925,23,46433,2022-05-03,2022-05-02,6293154,737.8335251290529
2022-05-03,7,1081349,5525,5185,9,24519,2022-05-03,2022-05-02,4098391,598.2591704891017
2022-05-03,8,3503211,15786,15557,29,64217,2022-05-03,2022-05-02,11103043,578.3729739675871
2022-05-03,9,4658661,23602,24118,43,92003,2022-05-03,2022-05-02,13140183,700.1652868913621
2022-05-03,10,301758,1640,900,2,6946,2022-05-03,2022-05-02,983991,705.9007653525285
2022-05-03,11,1003248,4489,2945,2,16799,2022-05-03,2022-05-02,3664088,458.4769798105286
2022-05-03,12,764673,5563,1979,4,11995,2022-05-03,2022-05-02,2531071,473.9100562568177
2022-05-03,13,468993,2163,1343,5,7835,2022-05-03,2022-05-02,1610774,486.4121223709844
2022-05-03,14,1469549,15296,3570,11,17211,2022-05-03,2022-05-02,4056941,424.2358959620068
2022-05-03,15,693601,5256,1906,2,11494,2022-05-03,2022-05-02,2180684,527.0823282969931
2022-05-03,16,692929,7112,1896,7,7736,2022-05-03,2022-05-02,2120237,364.86487123845114
