Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-26,0,24337394,134489,136798,304,755970,2022-04-26,2022-04-25,83155031,909.1091554039585
2022-04-26,1,633393,2424,8133,11,39212,2022-04-26,2022-04-25,2910875,1347.0863571950015
2022-04-26,2,528813,2503,1156,0,16775,2022-04-26,2022-04-25,1852478,905.5438175244186
2022-04-26,3,2096095,8633,25318,68,106964,2022-04-26,2022-04-25,8003421,1336.4784883864038
2022-04-26,4,182423,746,549,3,8138,2022-04-26,2022-04-25,680130,1196.535956361284
2022-04-26,5,4859538,24539,23693,49,151354,2022-04-26,2022-04-25,17925570,844.346930111567
2022-04-26,6,1688055,9865,11669,18,66760,2022-04-26,2022-04-25,6293154,1060.8353140571485
2022-04-26,7,1051485,5472,6816,9,41549,2022-04-26,2022-04-25,4098391,1013.7880939129526
2022-04-26,8,3431251,15677,22385,33,92653,2022-04-26,2022-04-25,11103043,834.4829430994728
2022-04-26,9,4560400,23403,13713,48,111584,2022-04-26,2022-04-25,13140183,849.1814763919194
2022-04-26,10,294838,1622,1307,7,11122,2022-04-26,2022-04-25,983991,1130.294890908555
2022-04-26,11,985071,4461,5002,3,19019,2022-04-26,2022-04-25,3664088,519.0650442893293
2022-04-26,12,750849,5534,3318,3,16481,2022-04-26,2022-04-25,2531071,651.1472811311892
2022-04-26,13,461109,2144,869,5,12446,2022-04-26,2022-04-25,1610774,772.6720197867609
2022-04-26,14,1448838,15184,6311,25,27172,2022-04-26,2022-04-25,4056941,669.7657175689762
2022-04-26,15,681481,5211,3026,3,19743,2022-04-26,2022-04-25,2180684,905.3581353373528
2022-04-26,16,683755,7071,3533,19,14998,2022-04-26,2022-04-25,2120237,707.3737511419714
