Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-28,0,24609159,135078,130104,246,686897,2022-04-28,2022-04-27,83155031,826.0438265004075
2022-04-28,1,646075,2437,5472,6,32399,2022-04-28,2022-04-27,2910875,1113.033022716537
2022-04-28,2,537425,2521,5018,8,17260,2022-04-28,2022-04-27,1852478,931.7249651547819
2022-04-28,3,2133498,8708,16387,20,98302,2022-04-28,2022-04-27,8003421,1228.2497696922353
2022-04-28,4,184529,746,1375,0,6733,2022-04-28,2022-04-27,680130,989.9578021848765
2022-04-28,5,4911075,24642,23884,48,135736,2022-04-28,2022-04-27,17925570,757.2199935622689
2022-04-28,6,1711082,9903,12504,10,61809,2022-04-28,2022-04-27,6293154,982.1625213684584
2022-04-28,7,1065865,5495,6595,11,35403,2022-04-28,2022-04-27,4098391,863.8268042263414
2022-04-28,8,3465165,15726,16141,21,81956,2022-04-28,2022-04-27,11103043,738.1399855877348
2022-04-28,9,4604466,23495,21782,31,110347,2022-04-28,2022-04-27,13140183,839.767604454215
2022-04-28,10,297998,1631,1219,5,9051,2022-04-28,2022-04-27,983991,919.8254862087152
2022-04-28,11,993839,4478,4732,15,19115,2022-04-28,2022-04-27,3664088,521.6850686992234
2022-04-28,12,758353,5551,3361,6,15613,2022-04-28,2022-04-27,2531071,616.8534979856353
2022-04-28,13,465388,2148,1548,3,11594,2022-04-28,2022-04-27,1610774,719.7781935889205
2022-04-28,14,1459702,15252,4839,25,24021,2022-04-28,2022-04-27,4056941,592.0963602872214
2022-04-28,15,686932,5247,2830,19,15913,2022-04-28,2022-04-27,2180684,729.725168800248
2022-04-28,16,687767,7098,2417,18,11645,2022-04-28,2022-04-27,2120237,549.2310529436096
