Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-27,0,24479055,134832,141661,343,738070,2022-04-27,2022-04-26,83155031,887.5830976480545
2022-04-27,1,640604,2431,7211,7,36316,2022-04-27,2022-04-26,2910875,1247.5973719242495
2022-04-27,2,532407,2513,3594,10,16847,2022-04-27,2022-04-26,1852478,909.4305033582045
2022-04-27,3,2117112,8688,21015,55,107194,2022-04-27,2022-04-26,8003421,1339.3522594900355
2022-04-27,4,183154,746,731,0,7202,2022-04-27,2022-04-26,680130,1058.915207386823
2022-04-27,5,4887191,24594,27655,55,148274,2022-04-27,2022-04-26,17925570,827.1647707715849
2022-04-27,6,1698580,9893,10527,28,64016,2022-04-27,2022-04-26,6293154,1017.2323766429362
2022-04-27,7,1059271,5484,7786,12,39499,2022-04-27,2022-04-26,4098391,963.7684642582906
2022-04-27,8,3449024,15705,17773,28,88398,2022-04-27,2022-04-26,11103043,796.1601157448457
2022-04-27,9,4582674,23464,22269,61,114064,2022-04-27,2022-04-26,13140183,868.0548817318602
2022-04-27,10,296780,1626,1942,4,10189,2022-04-27,2022-04-26,983991,1035.4769505005636
2022-04-27,11,989107,4463,4036,2,18321,2022-04-27,2022-04-26,3664088,500.0152834757244
2022-04-27,12,754993,5545,4144,11,16883,2022-04-27,2022-04-26,2531071,667.0298857677244
2022-04-27,13,463839,2145,2730,1,14073,2022-04-27,2022-04-26,1610774,873.6793615988338
2022-04-27,14,1454863,15227,6025,43,26257,2022-04-27,2022-04-26,4056941,647.2117785296853
2022-04-27,15,684102,5228,2621,17,18043,2022-04-27,2022-04-26,2180684,827.4009439240166
2022-04-27,16,685354,7080,1602,9,12494,2022-04-27,2022-04-26,2120237,589.2737462840239
