Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-16,0,23376879,132929,37568,29,728893,2022-04-16,2022-04-15,83155031,876.547084685712
2022-04-16,1,587325,2373,1165,0,29547,2022-04-16,2022-04-15,2910875,1015.0556104264182
2022-04-16,2,501940,2478,4058,2,17705,2022-04-16,2022-04-15,1852478,955.7468428774862
2022-04-16,3,1961605,8461,0,0,88691,2022-04-16,2022-04-14,8003421,1108.1636215313426
2022-04-16,4,172456,735,0,0,6635,2022-04-16,2022-04-14,680130,975.5487921426786
2022-04-16,5,4661816,24277,11267,7,148617,2022-04-16,2022-04-15,17925570,829.0782385162648
2022-04-16,6,1602629,9767,3276,-1,58071,2022-04-16,2022-04-15,6293154,922.7646423399141
2022-04-16,7,1002679,5420,2271,7,37574,2022-04-16,2022-04-15,4098391,916.7988120215957
2022-04-16,8,3311067,15512,3,0,90153,2022-04-16,2022-04-15,11103043,811.9665933023946
2022-04-16,9,4414978,23138,12733,9,128210,2022-04-16,2022-04-15,13140183,975.70939461041
2022-04-16,10,281632,1586,0,0,11823,2022-04-16,2022-04-14,983991,1201.5353798967674
2022-04-16,11,963868,4427,197,0,17746,2022-04-16,2022-04-15,3664088,484.32242893729625
2022-04-16,12,731756,5491,1,0,13363,2022-04-16,2022-04-14,2531071,527.9583227811468
2022-04-16,13,445805,2103,1551,2,16616,2022-04-16,2022-04-15,1610774,1031.5537747691483
2022-04-16,14,1413227,15055,0,0,28508,2022-04-16,2022-04-14,4056941,702.6969334777115
2022-04-16,15,659140,5146,1045,3,17636,2022-04-16,2022-04-15,2180684,808.7370751562354
2022-04-16,16,664956,6960,1,0,17998,2022-04-16,2022-04-15,2120237,848.8673671858381
