Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-24,0,24180512,134179,39179,24,671032,2022-04-24,2022-04-23,83155031,806.965004919546
2022-04-24,1,624869,2413,1188,0,33529,2022-04-24,2022-04-23,2910875,1151.852965173702
2022-04-24,2,525592,2503,3659,6,16854,2022-04-24,2022-04-23,1852478,909.8083755920447
2022-04-24,3,2070777,8565,1,0,89838,2022-04-24,2022-04-23,8003421,1122.4949930785847
2022-04-24,4,181278,743,771,0,7163,2022-04-24,2022-04-23,680130,1053.1810095128872
2022-04-24,5,4829831,24489,11852,4,138449,2022-04-24,2022-04-23,17925570,772.3547982016751
2022-04-24,6,1674808,9847,4865,0,61084,2022-04-24,2022-04-23,6293154,970.6420659656509
2022-04-24,7,1043703,5462,1368,0,35365,2022-04-24,2022-04-23,4098391,862.8996110912794
2022-04-24,8,3408866,15644,2,0,78636,2022-04-24,2022-04-23,11103043,708.238273057215
2022-04-24,9,4538902,23352,12056,11,106103,2022-04-24,2022-04-23,13140183,807.4697285418323
2022-04-24,10,293530,1615,1145,0,9926,2022-04-24,2022-04-23,983991,1008.7490637617622
2022-04-24,11,979977,4458,286,0,14805,2022-04-24,2022-04-23,3664088,404.0568894633535
2022-04-24,12,747531,5531,0,0,13699,2022-04-24,2022-04-22,2531071,541.2333356116837
2022-04-24,13,459833,2139,1204,0,12714,2022-04-24,2022-04-23,1610774,789.3099838959408
2022-04-24,14,1442527,15159,0,0,23020,2022-04-24,2022-04-22,4056941,567.4225974693742
2022-04-24,15,678266,5207,782,3,17414,2022-04-24,2022-04-23,2180684,798.556783101082
2022-04-24,16,680222,7052,0,0,12433,2022-04-24,2022-04-22,2120237,586.3967094244654
