Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-15,0,23339311,132900,156864,212,832777,2022-04-15,2022-04-14
2022-04-15,1,586160,2373,7021,9,33615,2022-04-15,2022-04-14
2022-04-15,2,497882,2476,4108,7,17601,2022-04-15,2022-04-14
2022-04-15,3,1961605,8461,19749,24,106229,2022-04-15,2022-04-14
2022-04-15,4,172456,735,1242,1,7551,2022-04-15,2022-04-14
2022-04-15,5,4650549,24270,31955,36,165391,2022-04-15,2022-04-14
2022-04-15,6,1599354,9768,11504,7,65798,2022-04-15,2022-04-14
2022-04-15,7,1000408,5413,8675,26,42759,2022-04-15,2022-04-14
2022-04-15,8,3311064,15512,19202,30,108389,2022-04-15,2022-04-14
2022-04-15,9,4402244,23129,24806,24,139427,2022-04-15,2022-04-14
2022-04-15,10,281632,1586,2262,-2,14378,2022-04-15,2022-04-14
2022-04-15,11,963671,4427,3916,5,21187,2022-04-15,2022-04-14
2022-04-15,12,731755,5491,3080,3,16043,2022-04-15,2022-04-14
2022-04-15,13,444254,2101,5629,12,18210,2022-04-15,2022-04-14
2022-04-15,14,1413227,15055,6261,22,34507,2022-04-15,2022-04-14
2022-04-15,15,658095,5143,4188,5,19782,2022-04-15,2022-04-14
2022-04-15,16,664955,6960,3266,3,21910,2022-04-15,2022-04-14
