Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-14,0,23182447,132688,165368,310,844591,2022-04-14,2022-04-13
2022-04-14,1,579139,2364,6258,13,32959,2022-04-14,2022-04-13
2022-04-14,2,493774,2469,4602,5,18532,2022-04-14,2022-04-13
2022-04-14,3,1941856,8437,22447,50,107220,2022-04-14,2022-04-13
2022-04-14,4,171214,734,1601,3,7657,2022-04-14,2022-04-13
2022-04-14,5,4618594,24234,31600,73,165027,2022-04-14,2022-04-13
2022-04-14,6,1587852,9761,12494,15,66405,2022-04-14,2022-04-13
2022-04-14,7,991734,5387,9525,8,42738,2022-04-14,2022-04-13
2022-04-14,8,3291866,15482,22825,27,110513,2022-04-14,2022-04-13
2022-04-14,9,4377427,23105,25649,43,144999,2022-04-14,2022-04-13
2022-04-14,10,279370,1588,2405,3,14920,2022-04-14,2022-04-13
2022-04-14,11,959755,4422,4587,1,22041,2022-04-14,2022-04-13
2022-04-14,12,728675,5488,3525,8,15988,2022-04-14,2022-04-13
2022-04-14,13,438625,2089,965,0,16102,2022-04-14,2022-04-13
2022-04-14,14,1406966,15033,7823,43,35282,2022-04-14,2022-04-13
2022-04-14,15,653907,5138,4393,13,19727,2022-04-14,2022-04-13
2022-04-14,16,661693,6957,4669,5,24481,2022-04-14,2022-04-13
