Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-10,0,22647197,131715,55471,36,912992,2022-04-10,2022-04-09
2022-04-10,1,557350,2340,1731,0,33194,2022-04-10,2022-04-09
2022-04-10,2,481817,2437,4142,13,21442,2022-04-10,2022-04-09
2022-04-10,3,1866629,8312,1,0,100645,2022-04-10,2022-04-08
2022-04-10,4,165674,726,21,0,7469,2022-04-10,2022-04-09
2022-04-10,5,4517864,24034,15993,5,177158,2022-04-10,2022-04-09
2022-04-10,6,1547023,9709,5838,2,68195,2022-04-10,2022-04-09
2022-04-10,7,963444,5354,1613,0,49549,2022-04-10,2022-04-09
2022-04-10,8,3213780,15368,2,0,110848,2022-04-10,2022-04-09
2022-04-10,9,4295286,22948,16435,9,169449,2022-04-10,2022-04-09
2022-04-10,10,271932,1566,2082,0,15645,2022-04-10,2022-04-09
2022-04-10,11,945381,4407,1,0,25581,2022-04-10,2022-04-08
2022-04-10,12,716821,5469,0,0,18930,2022-04-10,2022-04-08
2022-04-10,13,431390,2066,2267,2,22048,2022-04-10,2022-04-09
2022-04-10,14,1385057,14944,4239,3,42030,2022-04-10,2022-04-09
2022-04-10,15,641289,5106,1102,2,21941,2022-04-10,2022-04-09
2022-04-10,16,646460,6929,4,0,28868,2022-04-10,2022-04-09
