Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-04-29,0,Bundesgebiet,24710769,135292,101610,214,630716,758.4820694733431
2022-04-29,1,Schleswig-Holstein,651363,2441,5289,4,30010,1030.9614806544423
2022-04-29,2,Hamburg,540800,2524,3374,3,16003,863.8699083066033
2022-04-29,3,Niedersachsen,2146681,8724,13182,16,87124,1088.5844940557295
2022-04-29,4,Bremen,185452,749,923,3,5998,881.8902268683928
2022-04-29,5,Nordrhein-Westfalen,4931158,24709,20084,67,124724,695.7881952986711
2022-04-29,6,Hessen,1719615,9915,8534,12,57388,911.9115788363036
2022-04-29,7,Rheinland-Pfalz,1071474,5508,5609,13,31664,772.5958797001067
2022-04-29,8,Baden-Württemberg,3477453,15747,12287,21,76029,684.758223488822
2022-04-29,9,Bayern,4620823,23526,16357,31,103540,787.9646729425306
2022-04-29,10,Saarland,299067,1635,1069,4,8138,827.0400847162219
2022-04-29,11,Berlin,997355,4480,3516,2,19249,525.3421861047005
2022-04-29,12,Brandenburg,761059,5556,2706,5,14895,588.4860598537141
2022-04-29,13,Mecklenburg-Vorpommern,466532,2155,1144,7,10248,636.215881309234
2022-04-29,14,Sachsen,1462933,15272,3231,20,21777,536.7837491351243
2022-04-29,15,Sachsen-Anhalt,689114,5248,2182,1,13900,637.4146827325739
2022-04-29,16,Thüringen,689890,7103,2123,5,10029,473.01315843464675
