Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-17,0,Bundesgebiet,25818405,137714,86252,215,363917,437.63677990812124
2022-05-17,1,Schleswig-Holstein,707857,2498,4888,9,17922,615.6911581569116
2022-05-17,2,Hamburg,570589,2623,971,1,8433,455.2280782821712
2022-05-17,3,Niedersachsen,2298018,9113,12183,45,48774,609.414399167556
2022-05-17,4,Bremen,195802,770,945,3,3874,569.5969888109627
2022-05-17,5,Nordrhein-Westfalen,5160237,25149,15541,37,72525,404.5896448481136
2022-05-17,6,Hessen,1815128,10049,9145,10,34521,548.5484702900962
2022-05-17,7,Rheinland-Pfalz,1126921,5609,3595,8,16315,398.0830525930786
2022-05-17,8,Baden-Württemberg,3613272,15972,11483,14,45513,409.91465132576724
2022-05-17,9,Bayern,4816099,23884,17255,33,67651,514.8406228436849
2022-05-17,10,Saarland,310913,1663,600,0,3898,396.1418346306013
2022-05-17,11,Berlin,1031288,4556,2687,0,12714,346.98948278534795
2022-05-17,12,Brandenburg,781973,5630,1346,6,7083,279.8420115437299
2022-05-17,13,Mecklenburg-Vorpommern,480120,2205,959,3,5186,321.9570219037556
2022-05-17,14,Sachsen,1496113,15450,2121,9,9124,224.89851343660163
2022-05-17,15,Sachsen-Anhalt,709682,5315,1363,9,6486,297.429613827588
2022-05-17,16,Thüringen,704393,7228,1170,28,3898,183.84737177966426
