Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-21,0,Bundesgebiet,26040460,138324,42375,120,284373,341.9793085038956
2022-05-21,1,Schleswig-Holstein,720710,2514,2444,1,15212,522.5920041224717
2022-05-21,2,Hamburg,575710,2642,1290,5,6396,345.2672582346457
2022-05-21,3,Niedersachsen,2327961,9219,5209,13,37271,465.68836001504854
2022-05-21,4,Bremen,197528,772,0,0,2680,394.04231543969536
2022-05-21,5,Nordrhein-Westfalen,5212843,25264,10162,20,62258,347.3139208404531
2022-05-21,6,Hessen,1833059,10071,3714,4,26016,413.4016107026779
2022-05-21,7,Rheinland-Pfalz,1138057,5652,2484,18,12824,312.9032832640907
2022-05-21,8,Baden-Württemberg,3640109,16034,5412,11,35006,315.2829363986071
2022-05-21,9,Bayern,4851670,23956,6225,13,50134,381.53197714217526
2022-05-21,10,Saarland,312830,1671,383,0,2865,291.1611996451187
2022-05-21,11,Berlin,1038838,4578,1699,4,9832,268.3341666466526
2022-05-21,12,Brandenburg,785611,5649,511,6,5130,202.68099946623386
2022-05-21,13,Mecklenburg-Vorpommern,483444,2217,630,3,4216,261.7375249414257
2022-05-21,14,Sachsen,1501976,15481,1096,1,6990,172.29730479196024
2022-05-21,15,Sachsen-Anhalt,713239,5335,616,4,4718,216.3541347577182
2022-05-21,16,Thüringen,706875,7269,500,17,2825,133.23982177464123
