Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-06,0,Bundesgebiet,25215210,136339,85073,214,460013,553.1992405847338
2022-05-06,1,Schleswig-Holstein,677095,2456,3903,2,23661,812.8483703353803
2022-05-06,2,Hamburg,554786,2562,3426,6,9684,522.7592446442009
2022-05-06,3,Niedersachsen,2217719,8911,11182,48,61905,773.4817398709877
2022-05-06,4,Bremen,189884,764,594,2,4274,628.4092746974843
2022-05-06,5,Nordrhein-Westfalen,5032738,24909,17399,31,91439,510.1037233404573
2022-05-06,6,Hessen,1760740,9987,7090,9,39720,631.1620532407121
2022-05-06,7,Rheinland-Pfalz,1096395,5551,5496,11,21861,533.4044506734473
2022-05-06,8,Baden-Württemberg,3538913,15855,10162,29,56799,511.56246084969683
2022-05-06,9,Bayern,4709630,23661,14797,28,84397,642.2817703528177
2022-05-06,10,Saarland,304838,1648,836,0,5772,586.5907310127836
2022-05-06,11,Berlin,1012207,4509,2186,6,13553,369.88740445098483
2022-05-06,12,Brandenburg,771347,5576,1600,4,9865,389.75595706323526
2022-05-06,13,Mecklenburg-Vorpommern,472862,2171,1036,4,6293,390.68174678756924
2022-05-06,14,Sachsen,1479639,15362,2490,18,14834,365.6449526872587
2022-05-06,15,Sachsen-Anhalt,699429,5275,1688,7,9898,453.8942827112961
2022-05-06,16,Thüringen,696988,7142,1188,9,6058,285.72277533124833
